Fecal_IgA,Strain
3.229,CC027
10.8,CC027
24.578,CC027
7.145,CC027
39.944,CC027
14.245,CC027
10.913,CC027
1.483,CC027
5.286,CC027
4.571,CC027
8.965,CC027
0.77,CC027
1.52,CC027
8.371,CC027
2.389,CC027
1.591,CC027
2.89,CC027
4.24,CC027
2.493,CC027
4.58,CC027
1.458,CC027
1.16,CC027
0.605,CC027
1.064,CC027
18.273,CC027
13.365,CC027
6.268,CC027
3.105,CC027
5.735,CC027
3.88,CC027
11.226,CC027
0.696,CC027
3.913,CC027
8.55,CC027
2.81,CC027
15.469,CC027
22.877,CC027
4.497,CC027
1.284,CC027
74.169,C3H
94.353,C3H
147.415,C3H
90.163,C3H
53.034,C3H
109.242,C3H
50.948,C3H
194.241,C3H
508.699,C3H
77.438,C3H
60.302,C3H
42.817,C3H
64.758,C3H
167.149,C3H
62.415,C3H
46.268,C3H
90.403,C3H
75.049,C3H
107.045,C3H
85.197,C3H
99.28,C3H
88.501,C3H
86.275,C3H
174.125,C3H
89.451,C3H
475.062,C3H
310.662,C3H
148.002,C3H
114.602,C3H
18.476,C3H
198.192,C3H
55.38,C3H
