fold,seed,multiCLassAUC,meanBalancedACC,Train_procrustedCorr,Test_procrustedCorr,numFeatures,TrainAUC,mtry,Labels
1,1,0.894444444444444,0.6654761904761904,0.664974824462381,0.8828196137465811,17,0.899439294039294,2,True
2,1,0.830555555555556,0.636875,0.7517276117772406,0.8369401753816637,22,0.9212962481962482,2,True
3,1,0.813888888888889,0.5587912087912088,0.6847994068308533,0.8380147636915909,20,0.9052580974580975,2,True
4,1,0.894444444444444,0.6373809523809524,0.7236889526299358,0.8271461543152887,21,0.8984205905205905,2,True
5,1,0.780555555555556,0.5858974358974359,0.7150714890845327,0.8783405643252459,22,0.8574921522921523,4.69041575982343,True
1,2,0.855555555555556,0.6164835164835165,0.717162771159272,0.8697640984782969,22,0.8996501831501832,2,True
2,2,0.844444444444444,0.6364583333333333,0.7070644679647384,0.8693490344058653,19,0.888724975024975,4.358898943540674,True
3,2,0.888888888888889,0.719047619047619,0.7250756258879354,0.8911141444569125,19,0.8759193251193251,4.358898943540674,True
4,2,0.813888888888889,0.6950757575757576,0.7642927321798771,0.9248121515053408,21,0.9000060051060051,2,True
5,2,0.802777777777778,0.529375,0.6754650559829118,0.7657241351704394,19,0.9016552447552447,2,True
1,3,0.845833333333333,0.6974358974358974,0.7427961308781869,0.7739726089747785,20,0.9126188478188478,2,True
2,3,0.869444444444444,0.6935714285714286,0.8204307543561608,0.9103862316607837,23,0.8885211344211345,2,True
3,3,0.780555555555556,0.611904761904762,0.6532681622396096,0.8835092235044786,17,0.9095620934620935,2,True
4,3,0.922222222222222,0.667032967032967,0.7026152908279167,0.8344012310355393,17,0.8955032745032745,2,True
5,3,0.822222222222222,0.635625,0.6370510057909062,0.8428633341880154,17,0.8810435453435453,2,True
1,4,0.863888888888889,0.6692857142857143,0.708045764629698,0.8675661703561676,22,0.8998171328671328,2,True
2,4,0.818055555555556,0.615,0.8218369006491982,0.8471982642512942,23,0.9272138805638805,2,True
3,4,0.877777777777778,0.6897435897435897,0.6949472996832319,0.8709957412123883,21,0.8827698523698524,2,True
4,4,0.844444444444444,0.6438095238095238,0.6835924295433969,0.7588469178727469,18,0.8781785880785881,2,True
5,4,0.783333333333333,0.6116666666666667,0.7082858659625989,0.8425901079383812,18,0.8876847596847597,2,True
1,5,0.788888888888889,0.5876190476190476,0.7652404934287885,0.9010800645523014,22,0.8959593628593628,2,True
2,5,0.904166666666667,0.7219047619047619,0.7097247817656613,0.8375321311581391,18,0.8535635586635587,2,True
3,5,0.855555555555556,0.6433333333333333,0.7333718855331872,0.8670802560689232,20,0.8989529359529359,2,True
4,5,0.822222222222222,0.6147619047619047,0.6461105769923406,0.8047805215975415,17,0.8795948828948829,2,True
5,5,0.925,0.6394230769230769,0.7598250303649557,0.7510674069489862,22,0.8997503385503386,2,True
1,6,0.888888888888889,0.7497252747252747,0.6470661762930463,0.8629739691582485,17,0.9160139971139971,2,True
2,6,0.813888888888889,0.6380514705882353,0.6327288070228306,0.8093460977074691,18,0.880274358974359,2,True
3,6,0.838888888888889,0.6662087912087912,0.6706710333319984,0.8000958101991178,19,0.8635238317238317,4.358898943540674,True
4,6,0.858333333333333,0.6664835164835164,0.7380996872924641,0.8534788054977115,21,0.9094083916083916,2,True
5,6,0.805555555555556,0.5596153846153846,0.8173712059450547,0.9045218115917665,21,0.9168543789543789,2,True
1,7,0.838888888888889,0.6967948717948718,0.7196271444708396,0.7823635671519488,17,0.8991388167388167,2,True
2,7,0.933333333333333,0.7239010989010989,0.7292302436725298,0.8974309025501698,23,0.8928219558219558,2,True
3,7,0.775,0.6133333333333333,0.7559005484928033,0.8546913664913031,19,0.8756226884226884,4.358898943540674,True
4,7,0.808333333333333,0.6670833333333334,0.6859298703355977,0.8616402030966854,21,0.9155636363636364,2,True
5,7,0.856944444444445,0.6912087912087912,0.658275403665515,0.8634517604850559,17,0.8894784826284826,2,True
1,8,0.780555555555556,0.5894230769230769,0.7207655645385683,0.797479075319225,18,0.9029812742812743,2,True
2,8,0.841666666666667,0.6389583333333333,0.6247676232651769,0.829264511641202,15,0.8948693861693862,2,True
3,8,0.827777777777778,0.6922916666666666,0.6881164434640221,0.8479056243337959,19,0.8977757575757576,2,True
4,8,0.869444444444444,0.611904761904762,0.82607167420087535,0.9210548252199633,23,0.9247810023310024,2,True
5,8,0.9,0.7756410256410257,0.7160455021109439,0.8666976815898177,18,0.8925411477411478,2,True
1,9,0.8,0.666875,0.6620098350428418,0.8744593376746319,17,0.8750726495726495,4.123105625617661,True
2,9,0.844444444444444,0.5573717948717949,0.7339018241985982,0.8270997273947173,20,0.9247749250749251,2,True
3,9,0.811111111111111,0.6110416666666667,0.7246550565313556,0.812725323889442,18,0.8895690753690754,2,True
4,9,0.838888888888889,0.6117424242424242,0.7010926581197736,0.8599009078869292,20,0.8973653901653902,4.47213595499958,True
5,9,0.891666666666667,0.6389583333333333,0.6891931037888375,0.8815227832778545,18,0.8629785547785548,4.242640687119285,True
1,10,0.85,0.6908088235294118,0.6609853039545039,0.8597701688500027,17,0.8954253302253302,2,True
2,10,0.852777777777778,0.6661764705882353,0.6312102846867436,0.8247436356136243,18,0.8819074592074592,2,True
3,10,0.788888888888889,0.5590659340659341,0.7577594203165406,0.8329522184726773,20,0.9282456099456099,2,True
4,10,0.780555555555556,0.6151515151515151,0.7706703455184255,0.8115444807449382,24,0.9106059274059274,2,True
5,10,0.922222222222222,0.7516025641025641,0.7855524640010134,0.8797321741867793,21,0.8955348096348097,2,True
