fold,seed,multiCLassAUC,meanBalancedACC,Train_procrustedCorr,Test_procrustedCorr,numFeatures,TrainAUC,mtry,Labels
1,1,0.547222222222222,0.47307692307692306,0.403627115456266,0.4181211834942389,1,0.5309110667110667,1,Permuted
2,1,0.543055555555556,0.5001838235294118,0.3483114400212503,0.5402138881013655,2,0.5841551393051393,1.4142135623730951,Permuted
3,1,0.636111111111111,0.5014285714285714,0.37396522660216547,0.6636602587030159,4,0.5442306415806416,2,Permuted
4,1,0.375,0.444047619047619,0.2776955224913801,0.5445210287322834,1,0.6579984737484738,1,Permuted
5,1,0.433333333333333,0.4439102564102564,0.9513392632658636,0.9824784506788238,229,0.39838983793983795,2,Permuted
1,2,0.555555555555556,0.4442307692307692,0.4403106373226504,0.6157497440676656,6,0.7095831390831391,2.449489742783178,Permuted
2,2,0.619444444444444,0.5269230769230769,0.3735378603128095,0.44358503494314666,4,0.699600111000111,2,Permuted
3,2,0.505555555555556,0.5307692307692308,0.37652912280138856,0.512362676260374,2,0.6568260517260517,1.4142135623730951,Permuted
4,2,0.55,0.5585714285714286,0.47936736664345375,0.6980601997012919,4,0.6577270507270507,2,Permuted
5,2,0.527777777777778,0.4972916666666667,0.5138422967913977,0.6981389235203299,7,0.6789386169386169,2,Permuted
1,3,0.436111111111111,0.4727272727272727,0.4230606822984557,0.7606986709478939,3,0.6220820623820624,1.7320508075688772,Permuted
2,3,0.601388888888889,0.4738636363636364,0.3702639846770012,0.5668618963339243,2,0.6327084915084915,2,Permuted
3,3,0.591666666666667,0.5283088235294118,0.43253254949171266,0.5591943517377348,5,0.6558465034965035,2.23606797749979,Permuted
4,3,0.391666666666667,0.5016483516483516,0.2838494223243518,0.5191506520766641,2,0.6099383338883339,2,Permuted
5,3,0.455555555555556,0.47205882352941175,0.4051242185836362,0.6214183341793325,5,0.6483362082362082,2.23606797749979,Permuted
1,4,0.647222222222222,0.49875,0.47792628632143963,0.7086184490475761,7,0.6777094794094795,2,Permuted
2,4,0.502777777777778,0.5314102564102564,0.5400232687857556,0.7315242445272735,7,0.7169600621600621,2.6457513110645907,Permuted
3,4,0.427777777777778,0.5545955882352941,0.4170836319585157,0.6017259288849909,6,0.7279595182595183,2,Permuted
4,4,0.588888888888889,0.5016025641025641,0.4720783282310121,0.6629615411943016,5,0.629693500943501,2.23606797749979,Permuted
5,4,0.511111111111111,0.5260989010989011,0.43907896905685184,0.7437989166227559,6,0.6839833166833167,2.449489742783178,Permuted
1,5,0.402777777777778,0.554047619047619,0.33754417472944453,0.4989339430530788,2,0.5533888500388501,1.4142135623730951,Permuted
2,5,0.352777777777778,0.5542857142857143,0.9679975086929866,0.9279747319015135,229,0.48649794094794097,2,Permuted
3,5,0.452777777777778,0.4442307692307692,0.390645987837719,0.7080349601068149,3,0.5981843323343323,2,Permuted
4,5,0.572222222222222,0.44545454545454544,0.2710955274538468,0.44096478976196013,1,0.4954083654907184,1,Permuted
5,5,0.419444444444444,0.5005514705882352,0.5313357700315816,0.6329049120722225,5,0.5921043512043512,2.23606797749979,Permuted
1,6,0.455555555555556,0.5010989010989011,0.29709582866661566,0.5358785601892893,3,0.6324027250527251,1.7320508075688772,Permuted
2,6,0.511111111111111,0.4739010989010989,0.48076409952824845,0.7067983837414121,5,0.6225625818625818,2.23606797749979,Permuted
3,6,0.561111111111111,0.5288095238095238,0.4071586614568194,0.48724895666493,2,0.6259556665556666,1.4142135623730951,Permuted
4,6,0.588888888888889,0.5521978021978022,0.42638880038643573,0.6375908148943921,4,0.6085926684426685,2,Permuted
5,6,0.483333333333333,0.47291666666666665,0.49914685383001006,0.7962136571777898,5,0.6958623154623155,2,Permuted
1,7,0.6,0.4724264705882353,0.5550959822208577,0.6928341368895122,7,0.6918818181818182,2,Permuted
2,7,0.480555555555556,0.47333333333333333,0.39038814519322657,0.5929518587764212,3,0.510584731934732,1.7320508075688772,Permuted
3,7,0.469444444444444,0.5537878787878788,0.4960545643924644,0.7283495693588932,4,0.6857018481518481,2,Permuted
4,7,0.411111111111111,0.4975,0.5771201173448872,0.6978166141674381,6,0.7049252525252525,2.449489742783178,Permuted
5,7,0.422222222222222,0.4996794871794872,0.18795056236110055,0.36135807049801527,1,0.5740590909090909,1,Permuted
1,8,0.361111111111111,0.4735714285714286,0.5539651813976851,0.700946254384608,4,0.6352171717171717,2,Permuted
2,8,0.636111111111111,0.5552380952380952,0.5220591085761539,0.6225006634628758,3,0.5497291874791874,2,Permuted
3,8,0.386111111111111,0.4426282051282051,0.3342489415691617,0.6454464599193824,4,0.6778154708037061,2,Permuted
4,8,0.508333333333333,0.5002747252747253,0.948042581040628,0.9912383310341444,229,0.4294788489288489,2,Permuted
5,8,0.595833333333333,0.6079166666666667,0.394584037145632,0.5446339342068053,3,0.5672332167832168,1.7320508075688772,Permuted
1,9,0.386111111111111,0.44458333333333333,0.49254958504579677,0.797124405680349,7,0.7455211344211344,2,Permuted
2,9,0.430555555555556,0.4987179487179487,0.4780416720406142,0.6506280987955804,6,0.6895901043401044,2,Permuted
3,9,0.604166666666667,0.525625,0.5075639225184585,0.7140433418536944,4,0.6660075036075036,2,Permuted
4,9,0.486111111111111,0.47285714285714286,0.3522061082498622,0.49211962212591703,2,0.617387506937507,1.4142135623730951,Permuted
5,9,0.422222222222222,0.4442307692307692,0.42659828143599815,0.6631976549832416,5,0.6745576867576868,2.23606797749979,Permuted
1,10,0.591666666666667,0.4738095238095238,0.4674096962440114,0.681448097174821,6,0.658312987012987,2,Permuted
2,10,0.434722222222222,0.47250000000000003,0.5505730309216021,0.7315684865808318,8,0.7096275058275058,2,Permuted
3,10,0.461111111111111,0.6088888888888889,0.5537874707183417,0.6912263265297923,7,0.5939436618936619,2,Permuted
4,10,0.344444444444444,0.44333333333333336,0.41403638982467794,0.6914542404297529,3,0.6269335664335665,1.7320508075688772,Permuted
5,10,0.516666666666667,0.4724264705882353,0.5370364717963066,0.6391484865816546,6,0.6951418803418803,2,Permuted
1,11,0.402777777777778,0.4724264705882353,0.5223967199807172,0.718080881401401,6,0.6464397824397824,2.449489742783178,Permuted
2,11,0.456944444444444,0.4980769230769231,0.4375232650068864,0.7229003887628456,4,0.6497436341436341,2,Permuted
3,11,0.518055555555556,0.4729779411764706,0.45878500822590834,0.5558232527463604,5,0.6543073815073815,2.23606797749979,Permuted
4,11,0.572222222222222,0.555448717948718,0.46625818005587216,0.6908764328944403,6,0.7204271506271507,2,Permuted
5,11,0.538888888888889,0.47307692307692306,0.456973648862477,0.7406111838272834,5,0.6360642191142191,2.23606797749979,Permuted
1,12,0.429166666666667,0.4447916666666667,0.34300301855525644,0.5727195391404936,2,0.5909780497280497,1.4142135623730951,Permuted
2,12,0.586111111111111,0.4442307692307692,0.2957561613237737,0.527818678941214,2,0.5189931623931624,2,Permuted
