Strain,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230
CC027,3641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,3333,11077,0,0,0,0,2030,0,3987,0,1160,0,0,333,0,232,539,1758,0,10497,5496,0,0,33,56168,3987,2079,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,2859,0,8,0,0,0,0,0,0,7,0,0,23,0,29845,32749,649,1968,0,0,94,0,0,5762,5895,0,0,0,0,255,0,2,0,10,0,25,12,0,77,4,3260,0,302,269,0,0,0,0,2315,129,0,11,24,33,1085,3,0,0,0,0,1182,280,0,21,0,14,0,508,1862,164,622,0,0,0,5,0,1302,5,0,1457,16933,0,150,0,0,0,36,168,0,0,0,0,0,0,545,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1906,0,0,0,0,0,0,0,0,0,53,3125,0,0,0,0,35663,61,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4759,0,0,20019,1441,0,17,0,0,0
CC027,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,0,0,641,1963,0,0,0,0,2120,0,2444,0,323,0,0,136,0,0,410,799,0,5891,1037,0,0,10,36372,4207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,10,0,23603,24475,51,1252,0,0,15,11,0,2465,1334,3,0,0,0,0,45,12,0,0,0,0,0,0,25,7,907,0,136,104,0,0,0,0,51,53,0,0,0,0,521,0,0,0,0,0,338,132,0,0,0,0,0,22,382,0,91,35,0,0,0,0,234,0,20500,483,7040,0,23,0,0,0,82,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0,4,970,0,0,0,0,3099,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4808,0,16,4025,569,0,368,0,0,0
CC027,384,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1675,0,0,2821,3517,0,0,0,0,3793,0,8991,0,375,0,0,61,0,0,531,1138,0,9417,1755,0,0,5,51920,2611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,4,0,0,0,0,0,0,0,0,0,25,0,18650,27294,0,826,0,0,0,6,0,2392,1179,0,0,30,0,0,0,0,0,0,0,0,0,0,19,3,362,0,476,133,0,0,0,0,301,40,8,0,0,0,425,0,0,0,0,0,309,258,0,0,0,0,4,66,783,0,5,74,0,0,0,0,270,8,21372,515,9723,0,50,0,0,0,125,160,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,0,0,0,0,0,0,0,0,0,0,1679,0,0,0,0,1649,24,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,5622,0,0,3505,4018,0,1838,0,0,0
CC027,3019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4571,0,0,2739,2186,0,0,0,0,3445,0,4829,0,458,0,0,97,0,0,789,676,0,2010,345,0,0,20,17710,2590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,2,0,0,21080,24644,0,1742,0,0,0,5,0,1639,326,2,0,21,0,0,0,0,0,0,0,0,0,0,14,12,244,0,0,477,0,0,0,0,0,105,3,0,0,0,507,0,0,0,6,0,177,0,0,0,0,0,0,27,572,0,19,53,0,0,0,0,1166,0,10795,475,4885,0,43,0,0,0,48,99,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0,2,118,0,0,0,0,878,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2487,0,0,5136,188,0,4419,0,0,0
CC027,1910,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,274,2880,0,0,0,0,5290,0,4366,0,527,0,0,401,0,169,223,3795,0,11733,3705,0,0,47,30300,5967,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,377,0,3,0,0,0,0,0,0,0,0,0,0,0,19609,21464,0,932,0,0,0,1885,0,4260,5619,0,0,126,0,0,182,0,0,0,0,0,0,0,213,9,1903,0,0,26,0,0,0,0,853,186,0,12,0,0,887,4,0,0,5,0,592,217,0,4,59,14,0,304,2482,10,732,0,0,0,0,0,523,6,10,375,8925,0,20,0,0,0,17,63,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,76,1550,0,0,0,0,11214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10530,0,0,14823,5150,0,0,0,0,0
CC027,1421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,54,3433,0,0,0,0,2545,0,1464,0,1545,0,0,1081,0,24,13,87,0,19280,11560,0,0,71,28809,17912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21873,0,0,0,10,0,0,0,0,0,0,0,0,0,10302,28447,0,182,0,0,7,0,0,2627,3343,3,0,0,0,135,0,0,0,0,10,21,0,0,439,11,7065,0,104,15,0,0,0,0,1683,325,36,14,154,0,1556,0,0,0,0,8,643,361,0,10,0,0,0,142,1135,0,450,0,0,0,0,0,547,0,6,47,287,0,2,0,0,0,4,25,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,101,14438,0,0,0,0,7246,31,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4841,0,0,714,822,0,12,0,0,0
CC027,2269,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4843,0,0,2169,3680,0,0,2,0,1999,0,12378,10,13870,0,0,1193,0,1323,2925,6402,2,12052,1500,0,0,11,42286,25776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,0,4,0,0,0,0,0,0,0,0,0,18,0,29491,13799,0,722,0,0,9,0,0,11358,5509,0,0,0,0,142,0,0,0,0,0,0,0,0,227,5,4470,0,0,83,0,15,10,0,163,39,12,0,0,0,417,3,0,0,0,0,1496,2243,0,0,0,0,0,563,4235,443,383,0,0,0,0,5,1396,10,71,1412,14131,0,80,0,0,0,77,151,0,0,0,0,0,0,1967,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5225,0,0,0,0,0,0,0,0,0,43,116,0,0,0,0,6190,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2169,0,0,7273,3026,0,13085,0,0,0
CC027,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1561,0,0,509,2346,0,0,0,2,1738,0,1870,0,897,0,0,506,0,110,525,518,0,6547,1826,0,0,33,30171,7679,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,7571,22256,0,228,0,0,0,0,0,4449,1716,3,0,0,0,17,0,0,0,0,0,0,0,0,102,6,1443,0,17,15,0,0,0,0,1127,85,6,0,357,0,887,0,0,0,0,0,1108,260,0,0,0,5,0,241,951,0,405,283,0,0,0,0,280,10,1141,84,10581,0,3,0,0,0,19,109,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,0,0,0,0,0,0,0,0,0,21,3476,0,0,0,0,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5545,0,0,2424,784,0,14,0,0,0
CC027,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0,0,241,2926,0,0,0,2,550,0,1314,0,136,0,0,209,0,24,64,504,0,4707,1648,0,0,12,13865,2076,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,680,0,16,0,0,0,0,0,0,0,0,0,0,0,13966,23048,0,707,15,0,0,1558,4,2195,3326,7,0,159,0,0,168,0,0,0,0,0,0,0,85,0,1434,0,129,19,0,0,0,0,1289,93,5,0,71,0,569,0,0,0,0,0,252,100,0,0,7,7,0,92,657,10,350,0,0,0,0,0,250,7,3,54,7892,0,8,0,0,0,5,36,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,48,2919,0,0,0,0,5328,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4173,0,0,1726,803,0,3,0,0,0
CC027,1246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,449,4889,0,0,0,0,2826,0,4686,3,1012,0,0,813,0,17,205,1682,0,9659,2598,0,0,11,49331,2539,3966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928,0,0,0,0,0,0,0,0,0,0,0,10,0,41375,17515,313,1841,5,0,24,0,0,4740,5909,3,0,0,0,1696,0,7,0,0,0,0,11,0,255,7,5856,0,4,42,0,11,0,0,2348,63,12,0,169,0,1211,0,0,0,0,0,460,295,0,25,0,0,0,339,1344,38,534,0,0,0,0,0,716,8,3,778,1657,0,21,0,0,0,4,21,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,107,2897,0,0,0,0,18129,23,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5639,0,0,2515,1197,0,17,0,0,0
