fold,seed,AUC,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Train_procrustedCorr,Test_procrustedCorr,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy,numFeatures,TrainlogLoss,TrainAUC,TrainprAUC,TrainAccuracy,TrainKappa,TrainF1,TrainSensitivity,TrainSpecificity,TrainPos_Pred_Value,TrainNeg_Pred_Value,TrainPrecision,TrainRecall,TrainDetection_Rate,TrainBalanced_Accuracy,method,mtry,positiveClass,Labels
1,1,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9520960753457846,0.9816608152325286,1,1,1,1,1,1,1,0.5,0.5,0.5,1,47,0.07854175627883817,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45706959706959704,1,rf,2,C3H,True
2,1,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9483065058761957,0.9573548709327969,1,1,1,1,1,1,1,0.5,0.5,0.5,1,42,0.07409848473818467,1,0.8525,1,1,1,1,1,1,1,1,1,0.45706959706959704,1,rf,2,C3H,True
3,1,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.952495685365811,0.9821964258959531,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.07083732858623706,1,0.8552380952380954,1,1,1,1,1,1,1,1,1,0.46473260073260075,1,rf,2,C3H,True
4,1,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.949886537419805,0.9717081342577165,1,1,1,1,1,1,1,0.5,0.5,0.5,1,43,0.07417282233856562,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.4570989010989011,1,rf,2,C3H,True
5,1,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9532667499567562,0.9775166832115866,1,1,1,1,1,1,1,0.5,0.5,0.5,1,46,0.07667600774347776,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45704029304029303,1,rf,2,C3H,True
6,1,1,1,1,0.6305833524471808,1,0.625,0.023283064365386956,NaN,0.9500910079238502,0.9522867676142747,1,1,1,1,1,1,1,0.375,0.375,0.375,1,43,0.074500601222321,1,0.855952380952381,1,1,1,1,1,1,1,1,1,0.47134065934065933,1,rf,2,C3H,True
7,1,1,1,1,0.6637328831200571,1,0.5555555555555556,0.005041357015064845,NaN,0.947151320423241,0.9774428275763344,1,1,1,1,1,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,1,40,0.07193979308714693,1,0.8535714285714286,1,1,1,1,1,1,1,1,1,0.4636923076923077,1,rf,2,C3H,True
8,1,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.948153361200861,0.9673799991383892,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,43,0.07584715962327294,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.46473260073260075,1,rf,2,C3H,True
9,1,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9475913747010386,0.9673981575693236,1,1,1,1,1,1,1,0.5,0.5,0.5,1,44,0.07717421964871142,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45704029304029303,1,rf,2,C3H,True
10,1,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9568945283009029,0.9494414765807886,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,45,0.07773409751847328,1,0.8548809523809524,1,1,1,1,1,1,1,1,1,0.4646739926739927,1,rf,2,C3H,True
1,2,1,1,1,0.6637328831200571,1,0.5555555555555556,0.005041357015064845,NaN,0.9479958965102023,0.9652054978377327,1,1,1,1,1,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,1,43,0.07548478255255735,1,0.8535714285714286,1,1,1,1,1,1,1,1,1,0.46366300366300367,1,rf,2,C3H,True
2,2,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9529240661403021,0.97448411691714,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.07916734978358703,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4647032967032967,1,rf,2,C3H,True
3,2,1,1,1,0.6305833524471808,1,0.625,0.023283064365386956,NaN,0.9493034203194216,0.9752572536395709,1,1,1,1,1,1,1,0.375,0.375,0.375,1,43,0.07423029694785893,1,0.855952380952381,1,1,1,1,1,1,1,1,1,0.47134065934065933,1,rf,2,C3H,True
4,2,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9564888521940276,0.953756296668988,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,43,0.07598525112268976,1,0.8552380952380954,1,1,1,1,1,1,1,1,1,0.4647032967032967,1,rf,2,C3H,True
5,2,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.949325979136703,0.9677931672805798,1,1,1,1,1,1,1,0.5,0.5,0.5,1,43,0.07403653944687424,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
6,2,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9519921920821713,0.9808607815626862,1,1,1,1,1,1,1,0.5,0.5,0.5,1,44,0.0716788183444232,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45706959706959704,1,rf,2,C3H,True
7,2,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9491909065614939,0.9789445423254761,1,1,1,1,1,1,1,0.5,0.5,0.5,1,45,0.07791772828171127,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
8,2,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9511763223482745,0.9780581060209195,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,47,0.07938617902094529,1,0.854404761904762,1,1,1,1,1,1,1,1,1,0.4647032967032967,1,rf,2,C3H,True
9,2,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9427368318607747,0.9613881223001428,1,1,1,1,1,1,1,0.5,0.5,0.5,1,39,0.06881356857185537,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.457025641025641,1,rf,2,C3H,True
10,2,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9480689540228799,0.9731486400368169,1,1,1,1,1,1,1,0.5,0.5,0.5,1,43,0.0765013795312336,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
1,3,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9510333581313719,0.9734865232199581,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.07500051433609892,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4647032967032967,1,rf,2,C3H,True
2,3,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9513076026138093,0.9766360381571587,1,1,1,1,1,1,1,0.5,0.5,0.5,1,45,0.07556007067390715,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45705494505494504,1,rf,2,C3H,True
3,3,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9600371736748644,0.951269251168119,1,1,1,1,1,1,1,0.5,0.5,0.5,1,42,0.07414874404624351,1,0.8500000000000001,1,1,1,1,1,1,1,1,1,0.4570842490842491,1,rf,2,C3H,True
4,3,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9482695709275458,0.9656317065736449,1,1,1,1,1,1,1,0.5,0.5,0.5,1,42,0.07321243702465724,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45706959706959704,1,rf,2,C3H,True
5,3,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.9496529067212441,0.9841373831822203,1,1,1,1,1,1,1,0.5,0.5,0.5,1,42,0.07433334805585382,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45706959706959704,1,rf,2,C3H,True
6,3,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.951219918210577,0.9818942849256891,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,46,0.07793404903896937,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4646739926739927,1,rf,2,C3H,True
7,3,1,1,1,0.6637328831200571,1,0.5555555555555556,0.005041357015064845,NaN,0.9458021688126019,0.9641879003738812,1,1,1,1,1,1,1,0.4444444444444444,0.4444444444444444,0.4444444444444444,1,41,0.07826901366730861,1,0.8535714285714286,1,1,1,1,1,1,1,1,1,0.4636776556776557,1,rf,2,C3H,True
8,3,1,1,1,0.6305833524471808,1,0.5,0.00390625,NaN,0.947213527347749,0.9729966355664615,1,1,1,1,1,1,1,0.5,0.5,0.5,1,42,0.07186534968899909,1,0.8553571428571429,1,1,1,1,1,1,1,1,1,0.45704029304029303,1,rf,2,C3H,True
9,3,1,1,1,0.5903836027749966,1,0.5714285714285714,0.01989452888313056,NaN,0.9495713039098297,0.9724142908974889,1,1,1,1,1,1,1,0.42857142857142855,0.42857142857142855,0.42857142857142855,1,44,0.07164404725076563,1,0.8577380952380953,1,1,1,1,1,1,1,1,1,0.4646739926739927,1,rf,2,C3H,True
10,3,1,1,1,0.6305833524471808,1,0.625,0.023283064365386956,NaN,0.9506578081717947,0.9783090796571356,1,1,1,1,1,1,1,0.375,0.375,0.375,1,43,0.07464936595207572,1,0.8530952380952381,1,1,1,1,1,1,1,1,1,0.4713260073260073,1,rf,2,C3H,True
