fold,seed,AUC,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Train_procrustedCorr,Test_procrustedCorr,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy,numFeatures,TrainlogLoss,TrainAUC,TrainprAUC,TrainAccuracy,TrainKappa,TrainF1,TrainSensitivity,TrainSpecificity,TrainPos_Pred_Value,TrainNeg_Pred_Value,TrainPrecision,TrainRecall,TrainDetection_Rate,TrainBalanced_Accuracy,method,mtry,positiveClass
1,1,0.333333333333333,0.5714285714285714,0.16000000000000003,0.18405156764008304,0.9010117215574921,0.5714285714285714,0.653100080991521,1,0.6927514885812411,0.89830858763222,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285715,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.5833333333333333,7,0.5900690060421688,0.765969387755102,0.6453416941854442,0.7264029304029304,0.44621756775879096,0.6718873348873349,0.6295238095238095,0.8157142857142857,0.7695165945165945,0.726046176046176,0.7695165945165945,0.6295238095238095,0.29195604395604396,0.7226190476190476,rf,2,C3H
2,1,0.8125,0.875,0.75,0.47349032912479344,0.9968402764687481,0.5,0.035156250000000014,1,0.7990069744580335,0.8950630416519693,1,0.75,0.8,1,0.8,1,0.888888888888889,0.5,0.5,0.625,0.875,7,0.5695215352447884,0.7747448979591837,0.6515876357438858,0.7065201465201465,0.4026412460164756,0.646054945054945,0.6123809523809524,0.7871428571428571,0.7282857142857143,0.7146233766233766,0.7282857142857143,0.6123809523809524,0.27982417582417585,0.6997619047619048,rf,2,C3H
3,1,0.8,0.8888888888888888,0.7692307692307692,0.517503485082663,0.9971908632534008,0.5555555555555556,0.041339127523531694,1,0.4213032532180226,0.6566925396115271,0.75,1,1,0.8333333333333333,1,0.75,0.8571428571428571,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.875,6,0.6423251336201589,0.7280272108843537,0.6201548053467696,0.7031941391941392,0.3966997993658603,0.6434389793213322,0.6104761904761905,0.7835714285714286,0.7137619047619047,0.711017316017316,0.7137619047619047,0.6104761904761905,0.28317948717948715,0.6970238095238095,rf,2,C3H
4,1,0.75,0.875,0.75,0.47349032912479344,0.9968402764687481,0.5,0.035156250000000014,1,0.4511933350757153,0.5350762812994665,1,0.75,0.8,1,0.8,1,0.888888888888889,0.5,0.5,0.625,0.875,6,0.5778214013748048,0.7630782312925171,0.6467579586418872,0.6977142857142857,0.3838084747989377,0.6278743478743478,0.5876190476190476,0.7942857142857143,0.7300476190476191,0.7093549783549783,0.7300476190476191,0.5876190476190476,0.2672380952380952,0.690952380952381,rf,2,C3H
5,1,0.75,0.875,0.75,0.47349032912479344,0.9968402764687481,0.5,0.035156250000000014,1,0.7128625095593479,0.8758119767717218,0.75,1,1,0.8,1,0.75,0.8571428571428571,0.5,0.375,0.375,0.875,7,0.5990434650618199,0.7610884353741496,0.6475528226733585,0.6988424908424908,0.3843607851526864,0.6352909312909313,0.6095238095238095,0.775,0.6820952380952381,0.7144790764790765,0.6820952380952381,0.6095238095238095,0.27916483516483515,0.6922619047619047,rf,2,C3H
6,1,0.75,0.8571428571428571,0.7199999999999999,0.42127680295680486,0.9963897031380994,0.5714285714285714,0.124340805519566,1,0.38434191680180485,0.7708341188234653,1,0.75,0.75,1,0.75,1,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.875,6,0.6272884612760365,0.7306292517006803,0.6234796189260475,0.6903882783882784,0.37280896355251203,0.6445750915750915,0.6228571428571429,0.7485714285714286,0.6986984126984127,0.7012525252525252,0.6986984126984127,0.6228571428571429,0.29012454212454214,0.6857142857142857,rf,2,C3H
7,1,0.625,0.75,0.5,0.3491442055871758,0.9681459737500557,0.5,0.14453125000000006,0.4795001221869535,0.7943224754202557,0.8954287355850952,1,0.5,0.6666666666666666,1,0.6666666666666666,1,0.8,0.5,0.5,0.75,0.75,8,0.6000955015885285,0.7448979591836734,0.6353645524449095,0.7312967032967033,0.45226844919911036,0.676085803085803,0.6304761904761904,0.8178571428571428,0.7536507936507937,0.7301717171717171,0.7536507936507937,0.6304761904761904,0.28823443223443224,0.7241666666666666,rf,2,C3H
8,1,0.416666666666667,0.5714285714285714,0.22222222222222224,0.18405156764008304,0.9010117215574921,0.5714285714285714,0.653100080991521,0.24821307898992362,0.8464213014357053,0.7054959227906624,1,0.25,0.5,1,0.5,1,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.625,9,0.5677341318745757,0.7853061224489796,0.6659731383034955,0.6982124542124541,0.39158861721551286,0.6533369963369963,0.64,0.7521428571428571,0.7041428571428572,0.720047619047619,0.7041428571428572,0.64,0.2968791208791209,0.6960714285714286,rf,2,C3H
9,1,0.5,0.7142857142857143,0.4166666666666668,0.2904208637373427,0.9633074338239145,0.5714285714285714,0.3593449279515458,1,0.7326983915387026,0.7025619771859709,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.7083333333333333,6,0.5617145749753127,0.7826360544217688,0.6680197804840662,0.6924981684981685,0.3733144097682674,0.6347043218219689,0.6076190476190476,0.7628571428571429,0.7122539682539683,0.7053498723498723,0.7122539682539683,0.6076190476190476,0.2838974358974359,0.6852380952380952,rf,2,C3H
10,1,0.6,0.6666666666666666,0.3720930232558139,0.2992950562085404,0.9251453685803082,0.5555555555555556,0.3743106756545341,0.24821307898992362,0.391032195317011,0.5548448519629174,1,0.4,0.5714285714285715,1,0.5714285714285714,1,0.7272727272727273,0.4444444444444444,0.4444444444444444,0.7777777777777778,0.7,4,0.7060760495628462,0.6725425170068027,0.5748585202826274,0.6174945054945055,0.22608611596985514,0.557020313020313,0.5438095238095237,0.6821428571428572,0.609,0.6457720057720058,0.609,0.5438095238095237,0.2528205128205128,0.6129761904761905,rf,2,C3H
