col,Kingdom,Phylum,Class,Order,Family,Genus,Species,ID,i,Correlation,pval,pseudoF,permanova_pval,weight
k__Bacteria;__;__;__;__;__;__,k__Bacteria,__,__,__,__,__,__,V1,1,0.9698492221895317,0.009900990099009901,2.718939107051741,1.999600079984003e-4,0.0048175155836782165
k__Bacteria;p__;c__;o__;f__;g__;s__,k__Bacteria,p__,c__,o__,f__,g__,s__,V2,2,0.32931103681024765,0.009900990099009901,1.890953233064996,0.036392721455708855,0.00318791501748067
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;__;__;__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,__,__,__,V3,3,0.9955894575056156,0.009900990099009901,2.7498269612484503,1.999600079984003e-4,1.7022495882327959e-9
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__,V4,4,0.6834672332907721,0.009900990099009901,2.3522658463895865,1.999600079984003e-4,1.363512021139889e-5
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,__,V5,5,0.5405509556085936,0.009900990099009901,1.9727218168185494,0.002599480103979204,2.6001696365130487e-4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__,V6,6,0.5054457853953505,0.009900990099009901,2.0715058158602413,1.999600079984003e-4,2.94886578824623e-4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__mastitidis,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__mastitidis,V7,7,0.3228533623814055,0.009900990099009901,1.948728879262566,0.022595480903819236,0.0023114949712667045
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae;g__Dietzia;s__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Dietziaceae,g__Dietzia,s__,V8,8,0.7570085433729709,0.009900990099009901,2.5062572663632556,1.999600079984003e-4,4.2512072671608755e-6
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;__;__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Intrasporangiaceae,__,__,V9,9,0.9951685575973215,0.009900990099009901,2.749367892314303,1.999600079984003e-4,1.7014917101911964e-9
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;__;__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,__,__,V10,10,0.7107073040610683,0.009900990099009901,2.47181995574459,1.999600079984003e-4,2.7623365380815528e-5
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Microbacterium,__,V11,11,0.6671525173361404,0.009900990099009901,2.383129691947755,1.999600079984003e-4,2.2670682697098412e-5
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__aurum,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Microbacterium,s__aurum,V12,12,0.9967491926163351,0.009900990099009901,2.748816048380439,1.999600079984003e-4,1.6503864768748647e-9
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Arthrobacter,__,V13,13,0.9938666640342068,0.009900990099009901,2.7478730148153607,1.999600079984003e-4,1.700228580121864e-9
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Kocuria,s__,V14,14,0.9965158535862056,0.009900990099009901,2.7474791320987433,1.999600079984003e-4,1.7162175104315831e-9
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Micrococcus,__,V15,15,0.6188794714363459,0.009900990099009901,2.470243487348093,1.999600079984003e-4,1.1454637131662164e-4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Nesterenkonia;s__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Nesterenkonia,s__,V16,16,0.6546071676517254,0.009900990099009901,2.3206620098713273,1.999600079984003e-4,1.0800477845769389e-4
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Rhodococcus;s__fascians,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardiaceae,g__Rhodococcus,s__fascians,V17,17,0.9967991806429434,0.009900990099009901,2.7491795503881082,1.999600079984003e-4,1.6581700529144554e-9
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;__;__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,__,__,V18,18,0.9951685575973216,0.009900990099009901,2.749367892314303,1.999600079984003e-4,1.7014917101911964e-9
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Friedmanniella;s__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__Friedmanniella,s__,V19,19,0.746452022753913,0.009900990099009901,2.493783415210271,1.999600079984003e-4,6.375950681410697e-6
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Nocardioides;s__marinisabuli,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__Nocardioides,s__marinisabuli,V20,20,0.9965778846804761,0.009900990099009901,2.7629106082922594,1.999600079984003e-4,1.702966151631346e-9
